(485, 169)
(487, 170)
(490, 171)
(496, 173)
(501, 173)
(508, 172)
(515, 171)
(518, 170)
(525, 169)
(531, 167)
(534, 166)
(540, 165)
(544, 164)
(548, 162)
(554, 160)
(557, 160)
(562, 159)
(567, 158)
(572, 157)
(574, 156)
(577, 155)
(581, 153)
(582, 152)
(584, 152)
(589, 150)
(591, 150)
(592, 149)
(594, 149)
(599, 147)
(600, 147)
(604, 146)
(607, 145)
(609, 145)
(611, 145)
(614, 144)
(616, 144)
(623, 143)
(623, 143)
(626, 142)
(627, 142)
(628, 142)
(628, 142)
(628, 142)
(625, 144)
(624, 146)
(624, 148)
(621, 150)
(619, 152)
(618, 153)
(616, 154)
(612, 155)
(611, 157)
(607, 158)
(603, 160)
(601, 160)
(594, 163)
(590, 163)
(587, 165)
(579, 167)
(573, 168)
(570, 168)
(566, 168)
(563, 168)
(561, 168)
(560, 168)
(557, 168)
(553, 170)
(549, 171)
(545, 172)
(540, 173)
(536, 174)
(531, 177)
(526, 179)
(524, 179)
(520, 180)
(515, 181)
(512, 182)
(509, 183)
(504, 187)
(500, 189)
(497, 191)
(489, 194)
(487, 196)
(486, 198)
(484, 201)
(483, 201)
(482, 204)
(481, 205)
(478, 208)
(474, 212)
(472, 215)
(471, 216)
(471, 215)
(472, 211)
(473, 209)
(475, 206)
(477, 204)
(478, 201)
(480, 197)
(481, 194)
(482, 190)
(485, 186)
(485, 184)
(486, 182)
(487, 179)
(489, 177)
(490, 175)
(490, 175)
(489, 174)
(487, 176)
(485, 179)
(484, 181)
(483, 182)
(482, 184)
(480, 186)
(477, 187)
(475, 190)
(474, 193)
(472, 198)
(472, 200)
(471, 203)
(471, 203)
(471, 200)
(471, 196)
(473, 195)
(474, 192)
(477, 187)
(478, 184)
(480, 180)
(481, 179)
(483, 177)
(484, 175)
(485, 173)
(486, 172)
(487, 171)
(491, 171)
(492, 171)
(494, 171)
(496, 171)
(497, 171)
(502, 171)
(505, 171)
(505, 171)
(508, 171)
(511, 171)
(514, 170)
(514, 170)
(519, 169)
(521, 169)
(525, 169)
(529, 169)
(530, 168)
(531, 168)
(534, 168)
(537, 167)
(538, 167)
(542, 166)
