(674, 409)
(672, 410)
(658, 417)
(650, 426)
(633, 433)
(629, 437)
(618, 444)
(600, 452)
(586, 456)
(562, 467)
(568, 482)
(572, 486)
(574, 489)
(576, 492)
(579, 497)
(581, 502)
(584, 509)
(585, 514)
(587, 521)
(589, 529)
(591, 534)
(594, 540)
(594, 549)
(594, 558)
(593, 566)
(591, 572)
(591, 576)
(587, 585)
(586, 588)
(586, 593)
(592, 601)
(595, 600)
(605, 600)
(607, 600)
(610, 597)
(612, 594)
(614, 593)
(616, 588)
(619, 582)
(619, 574)
(620, 568)
(621, 558)
(621, 550)
(621, 546)
(623, 538)
(624, 530)
(624, 524)
(624, 518)
(625, 514)
(626, 507)
(627, 503)
(628, 498)
(631, 493)
(632, 490)
(634, 488)
(636, 484)
(639, 478)
(643, 471)
(645, 468)
(648, 464)
(651, 460)
(656, 452)
(658, 446)
(660, 442)
(663, 439)
(667, 434)
(670, 429)
(672, 423)
(672, 419)
(674, 413)
(670, 416)
(665, 416)
(659, 419)
(646, 421)
(638, 425)
(627, 430)
(615, 434)
(603, 439)
(597, 440)
(590, 442)
(578, 445)
(575, 448)
(568, 452)
(563, 456)
(560, 459)
(559, 465)
(559, 471)
(562, 476)
(565, 480)
(568, 486)
(572, 492)
(576, 497)
(578, 500)
(588, 506)
(584, 509)
(583, 518)
(586, 524)
(588, 529)
(590, 533)
(592, 537)
