(576, 514)
(579, 511)
(588, 508)
(597, 503)
(602, 501)
(612, 495)
(618, 492)
(625, 488)
(632, 483)
(639, 478)
(650, 471)
(656, 466)
(668, 456)
(674, 451)
(681, 444)
(686, 441)
(694, 434)
(701, 430)
(705, 427)
(709, 424)
(713, 420)
(715, 418)
(720, 413)
(722, 410)
(724, 409)
(727, 407)
(729, 405)
(731, 408)
(733, 410)
(736, 413)
(741, 417)
(744, 420)
(748, 426)
(751, 431)
(756, 435)
(760, 440)
(764, 446)
(766, 449)
(770, 451)
(775, 454)
(777, 456)
(781, 460)
(787, 465)
(791, 470)
(794, 475)
(796, 478)
(800, 482)
(807, 486)
(814, 491)
(821, 495)
(828, 498)
(837, 501)
(845, 503)
(855, 506)
(864, 511)
(879, 515)
(886, 518)
(890, 523)
(894, 528)
(903, 533)
(911, 538)
(914, 542)
(919, 552)
(924, 556)
(930, 561)
(934, 564)
(935, 566)
(941, 570)
(944, 574)
(946, 575)
(949, 581)
(951, 584)
(952, 594)
(954, 600)
(956, 604)
(958, 607)
(958, 609)
(959, 616)
(960, 619)
(951, 620)
(945, 622)
(923, 621)
(901, 619)
(882, 621)
(862, 623)
(828, 621)
(811, 620)
(783, 622)
(744, 620)
(730, 621)
(692, 619)
(667, 619)
(621, 613)
(602, 615)
(585, 617)
(560, 614)
(541, 610)
(528, 612)
(510, 613)
(505, 610)
(506, 604)
(509, 596)
(514, 589)
(519, 583)
(521, 576)
(524, 568)
(526, 566)
(533, 558)
(539, 553)
(546, 546)
(554, 540)
(564, 532)
(570, 522)
(576, 516)
(579, 512)
(581, 514)
(583, 513)
(583, 513)
(585, 512)
(592, 506)
(601, 499)
(612, 492)
(622, 485)
(631, 480)
(644, 473)
(656, 467)
(666, 462)
(679, 452)
(687, 444)
(697, 436)
(706, 429)
(716, 423)
(723, 416)
(727, 412)
(728, 409)
(730, 408)
(730, 408)
(734, 414)
(737, 418)
