(463, 271)
(466, 271)
(468, 271)
(470, 271)
(470, 269)
(471, 269)
(473, 270)
(476, 272)
(478, 272)
(482, 272)
(484, 272)
(486, 274)
(489, 275)
(491, 275)
(492, 275)
(495, 275)
(497, 275)
(500, 276)
(502, 276)
(502, 276)
(504, 276)
(506, 276)
(506, 276)
(504, 274)
(501, 274)
(501, 272)
(500, 271)
(499, 270)
(498, 269)
(497, 268)
(496, 267)
(493, 265)
(493, 265)
(491, 264)
(487, 260)
(487, 260)
(485, 259)
(483, 258)
(480, 256)
(479, 256)
(477, 256)
(476, 256)
(476, 255)
(473, 254)
(470, 254)
(469, 254)
(467, 255)
(466, 255)
(465, 256)
(465, 257)
(463, 259)
(463, 259)
(463, 261)
(463, 262)
(462, 264)
(462, 266)
(462, 267)
(462, 269)
(462, 271)
(465, 274)
(465, 274)
(465, 272)
(466, 272)
(468, 271)
(469, 271)
(470, 270)
(470, 270)
(472, 270)
(472, 270)
(474, 270)
(475, 270)
(475, 270)
(475, 270)
(478, 271)
